"Clinic","Head.of.clinic","Insel"
"Department for Biomedical Research (DBMR)","Prof. Dr. Mark Rubin",FALSE
"Direktion Lehre und Forschung","Prof. Dr. Matthias Gugger",TRUE
"Direktion Pflege","Dr. Paula Adomeit",FALSE
"Geriatrische Universitätsklinik","Dr. Franz Fäh",TRUE
"Insel Data Science Center, Direktion Technologie und Innovation","Pascal Schär",TRUE
"Insel Data Science Center, Technologie IDSC (DTI)","Matthias Kämpf",TRUE
"Insel Data Science Center, Bio-Imaging (DTI)","Mauricio Reyes",TRUE
"Institut für Physiotherapie","Dr. Martin Verra",FALSE
"Institute of Social and Preventive Medicine (ISPM)","Prof. Dr. med. Angèle Gayet-Ageron",FALSE
"Notfallzentrum für Kinder und Jugendliche","Dr. med. Isabelle Steiner",TRUE
"Universitäres Zentrum für Palliative Care","Prof. Dr. Steffen Eychmüller",TRUE
"Universitätsinstitut für Diagnostische und Interventionelle Neuroradiologie","Prof. Dr. Jan Gralla",TRUE
"Universitätsinstitut für Diagnostische, Interventionelle und Pädiatrische Radiologie","Prof. Dr. Andreas Christe",TRUE
"Universitätsinstitut für Klinische Chemie","Prof. Dr. Martin Fiedler",TRUE
"Universitätsklinik für Allgemeine Innere Medizin","Prof. Dr. Drahomir Aujesky",TRUE
"Universitätsklinik für Anästhesiologie und Schmerzmedezin","Prof. Dr. Frank Stüber",TRUE
"Universitätsklinik für Angiologie","Prof. Dr. med. Drosos Kotelis",TRUE
"Universitätsklinik für Augenheilkunde","Prof. Dr. Martin Zinkernagel",TRUE
"Universitätsklinik für Dermatologie","Prof. Dr. Luca Borradori",TRUE
"Universitätsklinik für Diabetologie, Endokrinologie, Ernährungsmedizin und Metabolismus","Prof. Dr. Christoph Stettler",TRUE
"Universitätsklinik für Frauenheilkunde, Gynäkologie und Gynäkologische Onkologie","Prof. Dr. Michael Mueller",TRUE
"Universitätsklinik für Frauenheilkunde, Geburtshilfe und feto-maternale Medizin","Prof. Dr. Daniel Surbek",TRUE
"Universitätsklinik für Gefässchirurgie","Prof. Dr. med. Drosos Kotelis",TRUE
"Universitätsklinik für Hals, Nasen- und Ohrenkrankheiten (HNO), Kopf- und Halschirurgie","Prof. Dr. Marco Domenico Caversaccio",TRUE
"Universitätsklinik für Hämatologie und Hämatologisches Zentrallabor","Prof. Dr. Anne Angelillo-Scherrer",TRUE
"Universitätsklinik für Herzchirurgie","Prof. Dr. med. Matthias Siepe",TRUE
"Universitätsklinik für Humangenetik", "Prof. Dr. Dr. med. Christiane Zweier", TRUE
"Universitätsklinik für Infektiologie","Prof. Dr. Andri Rauch",TRUE
"Universitätsklinik für Intensivmedizin","Prof. Dr. med. Joerg C. Schefold",TRUE
"Universitätsklinik für Kardiologie","Prof. Dr. Stephan Windecker",TRUE
"Universitätsklinik für Kinderchirurgie","Prof. Dr. Steffen Berger",TRUE
"Universitätsklinik für Kinderheilkunde","Prof. Dr. med. Matthias Kopp",TRUE
"Universitätsklinik für Medizinische Onkologie","Prof. Dr. Adrian Ochsenbein",TRUE
"Universitätsklinik für Nephrologie und Hypertonie","Prof. Dr. Daniel Fuster",TRUE
"Universitätsklinik für Neurochirurgie","Prof. Dr. Andreas Raabe",TRUE
"Universitätsklinik für Neurologie","Prof. Dr. Urs Fischer",TRUE
"Universitätsklinik für Notfallmedizin","Prof. Dr. Beat Lehmann",TRUE
"Universitätsklinik für Nuklearmedizin","Prof. Dr. Axel Rominger",TRUE
"Universitätsklinik für Orthopädische Chirurgie","Prof. Dr. Moritz Tannast",TRUE
"Universitätspoliklinik für Osteoporose","Prof. Dr. Kurt Lippuner",TRUE
"Universitätsklinik für Plastische- und Handchirurgie, Plastische Chirurgie","Prof. Dr. Mihai Constantinescu",TRUE
"Universitätsklinik für Plastische- und Handchirurgie, Handchirurgie","Prof. Dr. Esther Vögelin",TRUE
"Universitätsklinik für Pneumologie, Allergologie","Prof. Dr. Thomas Geiser",TRUE
"Universitätsklinik für Radio-Onkologie","Prof. Dr. Daniel Aebersold",TRUE
"Universitätsklinik für Rheumatologie und Immunologie","Prof. Dr. med. Britta Maurer",TRUE
"Universitätsklinik für Schädel-, Kiefer- und Gesichtschirurgie","Prof. Dr. med. Dr. med. dent. Benoît Schaller",TRUE
"Universitätsklinik für Thoraxchirurgie","Prof. Dr. Patrick Dorn",TRUE
"Universitätsklinik für Urologie","Prof. Dr. Beat Roth",TRUE
"Universitätsklinik für Viszerale Chirurgie und Medizin","Prof. Dr. Daniel Candinas",TRUE
"Universitätsklinik für Viszerale Chirurgie und Medizin, Viscerale und Transplantationschirurgie","Prof. Dr. Daniel Candinas",TRUE
"Universitätsklinik für Viszerale Chirurgie und Medizin, Gastroenterologie","Prof. Dr. med. Sebastian Zeissig",TRUE
"Universitätsklinik für Viszerale Chirurgie und Medizin, Hepatologie","Prof. Dr. med. Annalisa Berzigotti",TRUE
"Berner Institut für Hausarztmedizin (BIHAM)","Prof. Dr. med. Nicolas Rodondi",FALSE
"Zentrum für Rehabilitation und Sportmedizin","Prof. Dr. med. Matthias Wilhelm",TRUE
